"Disease","Read code","Medcode","Descr","Category"
"Diverticular disease of intestine (acute and chronic)","J512500","37813.0","Perforated diverticulum of colon","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J512600","48589.0","Perforated diverticulum of large intestine unspecified","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J512700","50313.0","Perforated diverticulum of large intestine NOS","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J512800","38941.0","Divertic disease/both sml+lge intestin with perforat+abscess","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J512.00","14942.0","Perforated diverticulum","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J512y00","49066.0","Perforated diverticulum unspecified","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J512z00","69918.0","Perforated diverticulum of intestine NOS","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J513.00","5686.0","Diverticular abscess","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J51..00","8322.0","Diverticula of intestine","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J51..11","5857.0","Diverticular disease","Diagnosis of Diverticular disease of intestine (acute and chronic)"
"Diverticular disease of intestine (acute and chronic)","J51z.00","9511.0","Diverticula of the intestine NOS","Diagnosis of Diverticular disease of intestine (acute and chronic)"
