"Disease","Read code","Medcode","Descr","Category","","","","","","",""
"Cataract","F464200","60883.0","Myotonic cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F464300","58625.0","Cataract associated with other syndromes","Diagnosis of cataract","","","","","","",""
"Cataract","F464.00","71291.0","Cataract due to other disorder","Diagnosis of cataract","","","","","","",""
"Cataract","F464z00","94430.0","Cataract due to other disorder NOS","Diagnosis of cataract","","","","","","",""
"Cataract","F465000","24467.0","Unspecified secondary cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F465200","89585.0","Other after cataract with vision normal","Diagnosis of cataract","","","","","","",""
"Cataract","F465300","26850.0","After-cataract with vision obscured","Diagnosis of cataract","","","","","","",""
"Cataract","F465500","8130.0","Posterior capsule opacification","Diagnosis of cataract","","","","","","",""
"Cataract","F465.00","33482.0","After cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F465z00","44487.0","After cataract NOS","Diagnosis of cataract","","","","","","",""
"Cataract","F466.00","703.0","Bilateral cataracts","Diagnosis of cataract","","","","","","",""
"Cataract","F46..00","296.0","Cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F46y.00","4358.0","Other cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F46yz00","15589.0","Other cataract NOS","Diagnosis of cataract","","","","","","",""
"Cataract","F46z000","44294.0","Immature cortical cataract","Diagnosis of cataract","","","","","","",""
"Cataract","F46z.00","6317.0","Cataract NOS","Diagnosis of cataract","","","","","","",""
"Cataract","F4B4B00","104553.0","Keratopathy following cataract surgery","Diagnosis of cataract","","","","","","",""
"Cataract","F4B4C00","105971.0","Bullous aphakic keratopathy following cataract surgery","Diagnosis of cataract","","","","","","",""
"Cataract","F4K2D00","42452.0","Vitreous syndrome following cataract surgery","Diagnosis of cataract","","","","","","",""
"Cataract","FyuE000","101939.0","[X]Other senile cataract","Diagnosis of cataract","","","","","","",""
"Cataract","FyuE100","70201.0","[X]Other specified cataract","Diagnosis of cataract","","","","","","",""
"Cataract","FyuE400","49297.0","[X]Cataract in other diseases classified elsewhere","Diagnosis of cataract","","","","","","",""
"Cataract","P330.00","299.0","Congenital cataract, unspecified","Diagnosis of cataract","","","","","","",""
"Cataract","P331000","18089.0","Capsular cataract","Diagnosis of cataract","","","","","","",""
"Cataract","P331100","11255.0","Subcapsular cataract","Diagnosis of cataract","","","","","","",""
"Cataract","P331.00","59914.0","Capsular and subcapsular cataract","Diagnosis of cataract","","","","","","",""
"Cataract","P331z00","88738.0","Capsular or subcapsular cataract NOS","Diagnosis of cataract","","","","","","",""
"Cataract","P332000","60425.0","Cortical cataract - congenital","Diagnosis of cataract","","","","","","",""
"Cataract","P332100","63429.0","Zonular cataract","Diagnosis of cataract","","","","","","",""
"Cataract","P332.00","96385.0","Cortical and zonular cataract","Diagnosis of cataract","","","","","","",""
"Cataract","P332z00","98962.0","Cortical or zonular cataract NOS","Diagnosis of cataract","","","","","","",""
"Cataract","P333.00","63212.0","Nuclear cataract - congenital","Diagnosis of cataract","","","","","","",""
"Cataract","P334000","39081.0","Total congenital cataract","Diagnosis of cataract","","","","","","",""
"Cataract","P334z00","71623.0","Total or subtotal congenital cataract NOS","Diagnosis of cataract","","","","","","",""
"Cataract","P33..00","4148.0","Congenital cataract and lens anomalies","Diagnosis of cataract","","","","","","",""
"Cataract","P33y000","27898.0","Blue dot cataract","Diagnosis of cataract","","","","","","",""
"Cataract","P33y100","99424.0","Congenital membranous cataract","Diagnosis of cataract","","","","","","",""
"Cataract","P33y.00","70700.0","Other specified congenital cataract or lens anomaly","Diagnosis of cataract","","","","","","",""
"Cataract","P33yz00","90279.0","Other congenital cataract or lens anomaly NOS","Diagnosis of cataract","","","","","","",""
"Cataract","P33z.00","45926.0","Congenital cataract or lens anomaly NOS","Diagnosis of cataract","","","","","","",""
"Cataract","ZV45611","4459.0","[V]State following cataract extraction","Diagnosis of cataract","","","","","","",""
