"Disease","Read code","Medcode","Descr","Incl_Cat","In_CALIBER"
"dyslipidaemia","C325.00","16306.0","Lipoprotein deficiencies","1.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","C325.11","91603.0","Tangier disease","1.0","42"
"dyslipidaemia","C325z00","1983.0","Lipoprotein deficiency NOS","1.0","42"
"dyslipidaemia","C328.00","95952.0","Dyslipidaemia","1.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","C329.00","107252.0","Hypercholesterolaemia","1.0","42"
"dyslipidaemia","C32..00","13228.0","Disorders of lipoid metabolism","1.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","C32..11","18708.0","Disorder of cholesterol metabolism","1.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","C32y.00","68741.0","Other disorders of lipoid metabolism","1.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","C32y200","67948.0","Lipoid dermatoarthritis","3.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","C32yz00","16534.0","Other disorder of lipoid metabolism NOS","1.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","C32z.00","39783.0","Disorder of lipoid metabolism NOS","1.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","Cyu8D00","66240.0","[X]Other hyperlipidaemia","1.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","Cyu8E00","97890.0","[X]Other disorders of lipoprotein metabolism","1.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","ZC2CI00","42765.0","Dietary advice for lipid disorder","9.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","ZC2CJ00","33694.0","Dietary advice for hyperlipidaemia","9.0","Dyslipidaemia diagnosed (3)"
"dyslipidaemia","ZV65317","12569.0","[V]Dietary surveillance in hypercholesterolaemia","9.0","Dyslipidaemia diagnosed (3)"
