"Disease","Read code","Medcode","Descr","Category","","","","","","","","","","",""
"Visual impairment and blindness","F496300","67765.0","Lesser eye: severe VI, Better eye: normal vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F496400","100755.0","Lesser eye: moderate VI, Better eye: unspecified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F496500","62657.0","Lesser eye: moderate VI, Better eye: near normal vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F496600","67872.0","Lesser eye: moderate VI, Better eye: normal vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F496.00","25831.0","Low vision, one eye","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F496z00","37893.0","Low vision, one eye NOS","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F497.00","104853.0","Severe visual impairment, binocular","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F498.00","105665.0","Moderate visual impairment, binocular","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F499.00","104666.0","Mild or no visual impairment, binocular","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F49A.00","104077.0","Blindness, monocular","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F49B.00","105206.0","Severe visual impairment, monocular","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F49C.00","105493.0","Moderate visual impairment, monocular","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F49..00","8367.0","Blindness and low vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F49..11","6020.0","Impaired vision","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F49..13","3976.0","Partial sight","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F49..14","9645.0","Sight impaired","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F49y.00","25547.0","Visual loss, one eye, unqualified","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F49z000","18819.0","Charles Bonnet syndrome","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F49z.00","1444.0","Visual loss NOS","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F49z.11","23742.0","Acquired blindness","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","F4H7300","32467.0","Cortical blindness","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","Fy1..00","103907.0","Combined visual and hearing impairment","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","FyuL.00","98637.0","[X]Visual disturbances and blindness","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","SJ0z.11","32044.0","Blindness - traumatic - NOS","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","Z961.00","38717.0","Provision of guide help for visual and hearing impairment","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","Z962.00","107912.0","Provision of communicator for visual and hearing impairment","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","Z96..00","32905.0","Provision for visual and hearing impairment","Diagnosis of blindness","","","","","","","","","","101881.0","Impaired vision due to diabetic retinopathy"
"Visual impairment and blindness","ZK74.00","100108.0","Issue of local authority blind registration","Diagnosis of blindness","","","","","","","","","","101881.0","Impaired vision due to diabetic retinopathy"
"Visual impairment and blindness","ZN56800","73508.0","Blind telephone user","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","ZN56A00","110179.0","Deaf-blind telephone user","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","ZRhO.00","52227.0","Reynell Zinkin language scale for the visually impaired","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","ZRr6.00","90766.0","Vineland maturity scales adapted for the blind","Diagnosis of blindness","","","","","","","","","","",""
"Visual impairment and blindness","ZV41000","6661.0","[V]Problems with sight","Diagnosis of blindness","","","","","","","","","","",""
