"Disease","ICD10codes","ICD10codeDescr","Category",""
"Infections of Other or unspecified organs","A42.8","Other forms of actinomycosis","126.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A42.9","Actinomycosis, unspecified","94.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A43.8","Other forms of nocardiosis","26.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A43.9","Nocardiosis, unspecified","15.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A44","Bartonellosis","14.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A48","Other bacterial diseases, not elsewhere classified","1165.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A49","Bacterial infection of unspecified site","19119.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A50","Congenital syphilis","66.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A51.2","Primary syphilis of other sites","20.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A51.4","Other secondary syphilis","24.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A51.5","Early syphilis, latent","5.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A51.9","Early syphilis, unspecified","8.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A52.7","Other symptomatic late syphilis","27.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A52.8","Late syphilis, latent","35.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A52.9","Late syphilis, unspecified","22.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A53","Other and unspecified syphilis","392.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A54.8","Other gonococcal infections","202.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A54.9","Gonococcal infection, unspecified","74.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A56.8","Sexually transmitted chlamydial infection of other sites","51.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A59.8","Trichomoniasis of other sites","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A59.9","Trichomoniasis, unspecified","12.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A63.8","Other specified predominantly sexually transmitted diseases","826.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A64","Unspecified sexually transmitted disease","13.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A65","Nonvenereal syphilis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A66","Yaws","19.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A67","Pinta [carate]","5.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A68","Relapsing fevers","31.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A69","Other spirochaetal infections","686.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A70","Chlamydia psittaci infection","31.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A74.8","Other chlamydial diseases","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A74.9","Chlamydial infection, unspecified","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A75","Typhus fever","13.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A77","Spotted fever [tick-borne rickettsioses]","9.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A78","Q fever","31.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A79","Other rickettsioses","21.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A90","Dengue fever [classical dengue]","249.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A91","Dengue haemorrhagic fever","7.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A92","Other mosquito-borne viral fevers","16.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A93","Other arthropod-borne viral fevers, not elsewhere classified","6.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A94","Unspecified arthropod-borne viral fever","11.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A95","Yellow fever","7.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A96","Arenaviral haemorrhagic fever","2.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A98","Other viral haemorrhagic fevers, not elsewhere classified","9.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","A99","Unspecified viral haemorrhagic fever","10.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B00.2","Herpesviral gingivostomatitis and pharyngotonsillitis","1092.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B00.7","Disseminated herpesviral disease","61.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B00.8","Other forms of herpesviral infection","470.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B00.9","Herpesviral infection, unspecified","2257.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B01.8","Varicella with other complications","674.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B01.9","Varicella without complication","4353.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B02.7","Disseminated zoster","79.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B02.8","Zoster with other complications","331.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B02.9","Zoster without complication","8631.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B05.8","Measles with other complications","26.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B05.9","Measles without complication","305.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B06.8","Rubella with other complications","1.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B06.9","Rubella without complication","139.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B20","Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases","3354.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B21","Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms","1850.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B22","Human immunodeficiency virus [HIV] disease resulting in other specified diseases","525.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B23","Human immunodeficiency virus [HIV] disease resulting in other conditions","1730.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B24","Unspecified human immunodeficiency virus [HIV] disease","8420.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B25.2","Cytomegaloviral pancreatitis","0.0","Diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B25.8","Other cytomegaloviral diseases","469.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B25.9","Cytomegaloviral disease, unspecified","3821.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B26.8","Mumps with other complications","2.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B26.9","Mumps without complication","370.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B33.0","Epidemic myalgia","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B33.1","Ross River disease","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B33.3","Retrovirus infections, not elsewhere classified","102.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B33.4","Hantavirus (cardio-)pulmonary syndrome","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B33.8","Other specified viral diseases","480.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B34","Viral infection of unspecified site","104301.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B37.0","Candidal stomatitis","35384.0","Diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B37.8","Candidiasis of other sites","16558.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B37.9","Candidiasis, unspecified","7130.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B38.7","Disseminated coccidioidomycosis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B38.8","Other forms of coccidioidomycosis","3.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B38.9","Coccidioidomycosis, unspecified","30.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B39.3","Disseminated histoplasmosis capsulati","3.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B39.4","Histoplasmosis capsulati, unspecified","5.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B39.5","Histoplasmosis duboisii","1.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B39.9","Histoplasmosis, unspecified","11.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B40.7","Disseminated blastomycosis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B40.8","Other forms of blastomycosis","4.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B40.9","Blastomycosis, unspecified","1.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B41.7","Disseminated paracoccidioidomycosis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B41.8","Other forms of paracoccidioidomycosis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B41.9","Paracoccidioidomycosis, unspecified","1.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B42.7","Disseminated sporotrichosis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B42.8","Other forms of sporotrichosis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B42.9","Sporotrichosis, unspecified","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B43.8","Other forms of chromomycosis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B43.9","Chromomycosis, unspecified","4.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B44.7","Disseminated aspergillosis","30.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B44.8","Other forms of aspergillosis","325.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B44.9","Aspergillosis, unspecified","2492.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B45.7","Disseminated cryptococcosis","10.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B45.8","Other forms of cryptococcosis","6.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B45.9","Cryptococcosis, unspecified","27.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B46.1","Rhinocerebral mucormycosis","8.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B46.4","Disseminated mucormycosis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B46.5","Mucormycosis, unspecified","32.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B46.8","Other zygomycoses","3.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B46.9","Zygomycosis, unspecified","3.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B47.0","Eumycetoma","8.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B47.1","Actinomycetoma","9.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B47.9","Mycetoma, unspecified","182.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B48","Other mycoses, not elsewhere classified","173.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B49","Unspecified mycosis","1957.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B50.8","Other severe and complicated Plasmodium falciparum malaria","117.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B50.9","Plasmodium falciparum malaria, unspecified","1458.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B51","Plasmodium vivax malaria","216.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B52","Plasmodium malariae malaria","29.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B53","Other parasitologically confirmed malaria","110.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B54","Unspecified malaria","306.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B55.0","Visceral leishmaniasis","41.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B55.2","Mucocutaneous leishmaniasis","3.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B55.9","Leishmaniasis, unspecified","61.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B57","Chagas' disease","7.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B58.8","Toxoplasmosis with other organ involvement","63.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B58.9","Toxoplasmosis, unspecified","155.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B60","Other protozoal diseases, not elsewhere classified","112.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B64","Unspecified protozoal disease","1.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B65","Schistosomiasis [bilharziasis]","169.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B66","Other fluke infections","11.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B67.3","Echinococcus granulosus infection, other and multiple sites","3.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B67.4","Echinococcus granulosus infection, unspecified","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B67.6","Echinococcus multilocularis infection, other and multiple sites","4.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B67.7","Echinococcus multilocularis infection, unspecified","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B67.9","Echinococcosis, other and unspecified","99.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B68","Taeniasis","9.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B69.8","Cysticercosis of other sites","10.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B69.9","Cysticercosis, unspecified","1.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B70","Diphyllobothriasis and sparganosis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B71","Other cestode infections","24.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B72","Dracunculiasis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B73","Onchocerciasis","19.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B74","Filariasis","16.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B75","Trichinellosis","0.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B76","Hookworm diseases","28.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B77","Ascariasis","25.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B78.7","Disseminated strongyloidiasis","9.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B78.9","Strongyloidiasis, unspecified","40.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B79","Trichuriasis","13.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B80","Enterobiasis","1488.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B83","Other helminthiases","139.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B87.8","Myiasis of other sites","10.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B87.9","Myiasis, unspecified","76.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B89","Unspecified parasitic disease","21.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B90.8","Sequelae of tuberculosis of other organs","60.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B90.9","Sequelae of respiratory and unspecified tuberculosis","723.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B92","Sequelae of leprosy","1.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B94.8","Sequelae of other specified infectious and parasitic diseases","1217.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B94.9","Sequelae of unspecified infectious or parasitic disease","213.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B95","Streptococcus and staphylococcus as the cause of diseases classified to other chapters","128681.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B96","Other specified bacterial agents as the cause of diseases classified to other chapters","312924.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B97","Viral agents as the cause of diseases classified to other chapters","20222.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B98.1","Vibrio vulnificus as the cause of diseases classified to other chapters","10.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","B99","Other and unspecified infectious diseases","1982.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","G04.1","Tropical spastic paraplegia","57.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","G53.0","Postzoster neuralgia","2631.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","G53.1","Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere","16.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","G63.0","Polyneuropathy in infectious and parasitic diseases classified elsewhere","122.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","G94.0","Hydrocephalus in infectious and parasitic diseases classified elsewhere","32.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","J09","Influenza due to identified avian influenza virus","198.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","J10.1","Influenza with other respiratory manifestations, other influenza virus identified","2600.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","J10.8","Influenza with other manifestations, other influenza virus identified","108.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","J11.1","Influenza with other respiratory manifestations, virus not identified","1071.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","J11.8","Influenza with other manifestations, virus not identified","65.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","J37","Chronic laryngitis and laryngotracheitis","400.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","J85.3","Abscess of mediastinum","77.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","M60.0","Infective myositis","3451.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","M63.0","Myositis in bacterial diseases classified elsewhere","77.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","M63.2","Myositis in other infectious diseases classified elsewhere","2.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","M65.0","Abscess of tendon sheath","224.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","M65.1","Other infective (teno)synovitis","1092.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","M68.0","Synovitis and tenosynovitis in bacterial diseases classified elsewhere","1.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","M71.0","Abscess of bursa","136.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","M71.1","Other infective bursitis","457.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","M72.6","Necrotizing fasciitis","2057.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","M73.1","Syphilitic bursitis","1.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","P35","Congenital viral diseases","726.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","P37","Other congenital infectious and parasitic diseases","1689.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","P39.0","Neonatal infective mastitis","123.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","P39.2","Intra-amniotic infection of fetus, not elsewhere classified","8.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","P39.8","Other specified infections specific to the perinatal period","1660.0","Possible diagnosis of Infections of Other or unspecified organs"
"Infections of Other or unspecified organs","P39.9","Infection specific to the perinatal period, unspecified","1213.0","Possible diagnosis of Infections of Other or unspecified organs"
