Disease,ICD10code,ICD10codeDescr,Category
Lower Respiratory Tract Infections,B39.1,Chronic pulmonary histoplasmosis capsulati,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B39.2,"Pulmonary histoplasmosis capsulati, unspecified",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B40.0,Acute pulmonary blastomycosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B40.1,Chronic pulmonary blastomycosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B40.2,"Pulmonary blastomycosis, unspecified",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B41.0,Pulmonary paracoccidioidomycosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B42.0,Pulmonary sporotrichosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B44.0,Invasive pulmonary aspergillosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B44.1,Other pulmonary aspergillosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B45.0,Pulmonary cryptococcosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B46.0,Pulmonary mucormycosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B58.3,Pulmonary toxoplasmosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B59,Pneumocystosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,B67.1,Echinococcus granulosus infection of lung,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J10.0,"Influenza with pneumonia, other influenza virus identified",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J11.0,"Influenza with pneumonia, virus not identified",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J12,"Viral pneumonia, not elsewhere classified",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J13,Pneumonia due to Streptococcus pneumoniae,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J14,Pneumonia due to Haemophilus influenzae,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J15,"Bacterial pneumonia, not elsewhere classified",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J16,"Pneumonia due to other infectious organisms, not elsewhere classified",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J17,Pneumonia in diseases classified elsewhere,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J18,"Pneumonia, organism unspecified",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J20,Acute bronchitis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J21,Acute bronchiolitis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J22,Unspecified acute lower respiratory infection,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J65,Pneumoconiosis associated with tuberculosis,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J85.0,Gangrene and necrosis of lung,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J85.1,Abscess of lung with pneumonia,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J85.2,Abscess of lung without pneumonia,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,J86,Pyothorax,Diagnosis of Lower Respiratory Tract Infections
Lower Respiratory Tract Infections,P23,Congenital pneumonia,Diagnosis of Lower Respiratory Tract Infections
