"Disease","OPCS4code","OPCS4codeDescr","Category"
"Intervertebral disc disorders","V33.8","Other specified primary excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V33.9","Unspecified primary excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V34","Revisional excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V34.1","Revisional laminectomy excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V34.2","Revisional fenestration excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V34.3","Revisional anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V34.4","Revisional anterior excision of lumbar intervertebral disc NEC","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V34.5","Revisional anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V34.6","Revisional anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V34.7","Revisional microdiscectomy of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V34.8","Other specified revisional excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V34.9","Unspecified revisional excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V35","Excision of unspecified intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V35.1","Primary excision of intervertebral disc NEC","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V35.2","Revisional excision of intervertebral disc NEC","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V35.8","Other specified excision of unspecified intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V35.9","Unspecified excision of unspecified intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V36","Prosthetic replacement of intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V36.1","Prosthetic replacement of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V36.2","Prosthetic replacement of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V36.3","Prosthetic replacement of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V36.8","Other specified prosthetic replacement of intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V36.9","Unspecified prosthetic replacement of intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V51","Other primary excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V51.1","Primary direct lateral excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V51.8","Other specified other primary excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V51.9","Unspecified other primary excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V52","Other operations on intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V52.1","Enzyme destruction of intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V52.2","Destruction of intervertebral disc NEC","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V52.3","Discography of intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V52.4","Biopsy of lesion of intervertebral disc NEC","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V52.5","Aspiration of intervertebral disc NEC","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V52.8","Other specified other operations on intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V52.9","Unspecified other operations on intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V58","Primary automated percutaneous mechanical excision of intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V58.1","Primary automated percutaneous mechanical excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V58.2","Primary automated percutaneous mechanical excision of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V58.3","Primary automated percutaneous mechanical excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V58.8","Other specified primary automated percutaneous mechanical excision of intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V58.9","Unspecified primary automated percutaneous mechanical excision of intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V59","Revisional automated percutaneous mechanical excision of intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V59.1","Revisional automated percutaneous mechanical excision of cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V59.2","Revisional automated percutaneous mechanical excision of thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V59.3","Revisional automated percutaneous mechanical excision of lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V59.8","Other specified revisional automated percutaneous mechanical excision of intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V59.9","Unspecified revisional automated percutaneous mechanical excision of intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V60","Primary percutaneous decompression using coblation to intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V60.1","Primary percutaneous decompression using coblation to cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V60.2","Primary percutaneous decompression using coblation to thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V60.3","Primary percutaneous decompression using coblation to lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V60.8","Other specified primary percutaneous decompression using coblation to intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V60.9","Unspecified primary percutaneous decompression using coblation to intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V61","Revisional percutaneous decompression using coblation to intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V61.1","Revisional percutaneous decompression using coblation to cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V61.2","Revisional percutaneous decompression using coblation to thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V61.3","Revisional percutaneous decompression using coblation to lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V61.8","Other specified revisional percutaneous decompression using coblation to intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V61.9","Unspecified revisional percutaneous decompression using coblation to intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V62","Primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V62.1","Primary percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V62.2","Primary percutaneous intradiscal radiofrequency thermocoagulation to thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V62.3","Primary percutaneous intradiscal radiofrequency thermocoagulation to lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V62.8","Other specified primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V62.9","Unspecified primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V63","Revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V63.1","Revisional percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V63.2","Revisional percutaneous intradiscal radiofrequency thermocoagulation to thoracic intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V63.3","Revisional percutaneous intradiscal radiofrequency thermocoagulation to lumbar intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V63.8","Other specified revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc","Procedure for Intervertebral disc disorders"
"Intervertebral disc disorders","V63.9","Unspecified revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc","Procedure for Intervertebral disc disorders"
