Disease,ICD10code,ICD10codeDescr,Category
Other or unspecified infectious organisms,H67.8,Otitis media in other diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H70,Mastoiditis and related conditions,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H73.0,Acute myringitis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H73.1,Chronic myringitis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,H75.0,Mastoiditis in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,I30.1,Infective pericarditis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,I32.1,Pericarditis in other infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,I33.0,Acute and subacute infective endocarditis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,I40.0,Infective myocarditis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,I41.2,Myocarditis in other infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,I43.0,Cardiomyopathy in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,I98.1,Cardiovascular disorders in other infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J00,Acute nasopharyngitis [common cold],Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J01,Acute sinusitis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J02.8,Acute pharyngitis due to other specified organisms,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J02.9,"Acute pharyngitis, unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J03.8,Acute tonsillitis due to other specified organisms,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J03.9,"Acute tonsillitis, unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J04,Acute laryngitis and tracheitis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J05,Acute obstructive laryngitis [croup] and epiglottitis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J06,Acute upper respiratory infections of multiple and unspecified sites,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J16.8,Pneumonia due to other specified infectious organisms,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J17.8,Pneumonia in other diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J18,"Pneumonia, organism unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J20.8,Acute bronchitis due to other specified organisms,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J20.9,"Acute bronchitis, unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J22,Unspecified acute lower respiratory infection,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,J85,Abscess of lung and mediastinum,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,K75.0,Abscess of liver,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,K77.0,Liver disorders in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,L08.0,Pyoderma,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,L08.8,Other specified local infections of skin and subcutaneous tissue,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,L08.9,"Local infection of skin and subcutaneous tissue, unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,L30.3,Infective dermatitis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,M01.8,Arthritis in other infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,M02,Reactive arthropathies,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,M03,Postinfective and reactive arthropathies in diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,M46.3,Infection of intervertebral disc (pyogenic),Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,M46.4,"Discitis, unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,M46.5,Other infective spondylopathies,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,M49.3,Spondylopathy in other infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,M60.0,Infective myositis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,M63.2,Myositis in other infectious diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,N08.0,Glomerular disorders in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,N10,Acute tubulo-interstitial nephritis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,N16.0,Renal tubulo-interstitial disorders in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,N29.1,Other disorders of kidney and ureter in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,N30.0,Acute cystitis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,N30.8,Other cystitis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,N30.9,"Cystitis, unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,N34,Urethritis and urethral syndrome,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,N48.1,Balanoposthitis,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,N77.0,Ulceration of vulva in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,N77.1,"Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,P23.8,Congenital pneumonia due to other organisms,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,P23.9,"Congenital pneumonia, unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,P37.8,Other specified congenital infectious and parasitic diseases,Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,P37.9,"Congenital infectious and parasitic disease, unspecified",Possible diagnosis of Other or unspecified infectious organisms
Other or unspecified infectious organisms,P39,Other infections specific to the perinatal period,Possible diagnosis of Other or unspecified infectious organisms
