"Disease","OPCS4code","OPCS4codeDescr","Category"
"Congenital malformations of cardiac septa","K13.4","Percutaneous transluminal repair of defect of interatrial septum NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K13.5","Percutaneous transluminal repair of defect of unspecified septum using prosthesis","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K13.8","Other specified transluminal repair of defect of septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K13.9","Unspecified transluminal repair of defect of septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K14","Other open operations on septum of heart","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K14.1","Open enlargement of defect of atrial septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K14.2","Open atrial septostomy","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K14.3","Atrial septectomy","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K14.4","Surgical atrial septation","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K14.5","Open enlargement of defect of interventricular septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K14.8","Other specified other open operations on septum of heart","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K14.9","Unspecified other open operations on septum of heart","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K15","Closed operations on septum of heart","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K15.1","Closed enlargement of defect of atrial septum","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K15.2","Closed atrial septostomy","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K15.8","Other specified closed operations on septum of heart","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K15.9","Unspecified closed operations on septum of heart","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K16","Other therapeutic transluminal operations on septum of heart","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K16.1","Percutaneous transluminal balloon atrial septostomy","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K16.2","Percutaneous transluminal atrial septostomy NEC","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K16.3","Percutaneous transluminal atrial septum fenestration closure with prosthesis","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K16.4","Percutaneous transluminal atrial septum fenestration","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K16.5","Percutaneous transluminal closure of patent oval foramen with prosthesis","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K16.6","Percutaneous transluminal chemical mediated septal ablation","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K16.8","Other specified other therapeutic transluminal operations on septum of heart","Procedure for Congenital malformations of cardiac septa"
"Congenital malformations of cardiac septa","K16.9","Unspecified other therapeutic transluminal operations on septum of heart","Procedure for Congenital malformations of cardiac septa"
