Disease,ICD10code,ICD10codeDescr,Category
Glomerulonephritis,N02.1,Recurrent and persistent haematuria - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis
Glomerulonephritis,N02.2,Recurrent and persistent haematuria - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N02.3,Recurrent and persistent haematuria - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N02.4,Recurrent and persistent haematuria - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N02.5,Recurrent and persistent haematuria - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N02.6,Recurrent and persistent haematuria - Dense deposit disease,Diagnosis of Glomerulonephritis
Glomerulonephritis,N02.7,Recurrent and persistent haematuria - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N02.8,Recurrent and persistent haematuria - Other,Diagnosis of Glomerulonephritis
Glomerulonephritis,N02.9,Recurrent and persistent haematuria - Unspecified,Diagnosis of Glomerulonephritis
Glomerulonephritis,N03.0,Chronic nephritic syndrome - Minor glomerular abnormality,Diagnosis of Glomerulonephritis
Glomerulonephritis,N03.1,Chronic nephritic syndrome - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis
Glomerulonephritis,N03.2,Chronic nephritic syndrome - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N03.3,Chronic nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N03.4,Chronic nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N03.5,Chronic nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N03.6,Chronic nephritic syndrome - Dense deposit disease,Diagnosis of Glomerulonephritis
Glomerulonephritis,N03.7,Chronic nephritic syndrome - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N03.8,Chronic nephritic syndrome - Other,Diagnosis of Glomerulonephritis
Glomerulonephritis,N03.9,Chronic nephritic syndrome - Unspecified,Diagnosis of Glomerulonephritis
Glomerulonephritis,N04.0,Nephrotic syndrome - Minor glomerular abnormality,Diagnosis of Glomerulonephritis
Glomerulonephritis,N04.1,Nephrotic syndrome - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis
Glomerulonephritis,N04.2,Nephrotic syndrome - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N04.3,Nephrotic syndrome - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N04.4,Nephrotic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N04.5,Nephrotic syndrome - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N04.6,Nephrotic syndrome - Dense deposit disease,Diagnosis of Glomerulonephritis
Glomerulonephritis,N04.7,Nephrotic syndrome - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N04.8,Nephrotic syndrome - Other,Diagnosis of Glomerulonephritis
Glomerulonephritis,N04.9,Nephrotic syndrome - Unspecified,Diagnosis of Glomerulonephritis
Glomerulonephritis,N05.0,Unspecified nephritic syndrome - Minor glomerular abnormality,Diagnosis of Glomerulonephritis
Glomerulonephritis,N05.1,Unspecified nephritic syndrome - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis
Glomerulonephritis,N05.2,Unspecified nephritic syndrome - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N05.3,Unspecified nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N05.4,Unspecified nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N05.5,Unspecified nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N05.6,Unspecified nephritic syndrome - Dense deposit disease,Diagnosis of Glomerulonephritis
Glomerulonephritis,N05.7,Unspecified nephritic syndrome - Diffuse crescentic glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N05.8,Unspecified nephritic syndrome - Other,Diagnosis of Glomerulonephritis
Glomerulonephritis,N05.9,Unspecified nephritic syndrome - Unspecified,Diagnosis of Glomerulonephritis
Glomerulonephritis,N06.0,Isolated proteinuria with specified morphological lesion - Minor glomerular abnormality,Diagnosis of Glomerulonephritis
Glomerulonephritis,N06.1,Isolated proteinuria with specified morphological lesion - Focal and segmental glomerular lesions,Diagnosis of Glomerulonephritis
Glomerulonephritis,N06.2,Isolated proteinuria with specified morphological lesion - Diffuse membranous glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N06.3,Isolated proteinuria with specified morphological lesion - Diffuse mesangial proliferative glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N06.5,Isolated proteinuria with specified morphological lesion - Diffuse mesangiocapillary glomerulonephritis,Diagnosis of Glomerulonephritis
Glomerulonephritis,N06.6,Isolated proteinuria with specified morphological lesion - Dense deposit disease,Diagnosis of Glomerulonephritis
Glomerulonephritis,N06.8,Isolated proteinuria with specified morphological lesion - Other,Diagnosis of Glomerulonephritis
Glomerulonephritis,N06.9,Isolated proteinuria with specified morphological lesion - Unspecified,Diagnosis of Glomerulonephritis
