"metadata","category","readcode","readterm","medcode"
"                                                                              ",3,"C108.13","Type I diabetes mellitus",24423
"                                                                              ",3,"C108000","Insulin-dependent diabetes mellitus with renal complications",46963
"                                                                              ",3,"C108011","Type I diabetes mellitus with renal complications",61344
"                                                                              ",3,"C108012","Type 1 diabetes mellitus with renal complications",21983
"                                                                              ",3,"C108100","Insulin-dependent diabetes mellitus with ophthalmic comps",49276
"                                                                              ",3,"C108200","Insulin-dependent diabetes mellitus with neurological comps",52283
"                                                                              ",3,"C108211","Type I diabetes mellitus with neurological complications",49146
"                                                                              ",3,"C108212","Type 1 diabetes mellitus with neurological complications",61829
"                                                                              ",3,"C108300","Insulin dependent diabetes mellitus with multiple complicatn",52104
"                                                                              ",3,"C108400","Unstable insulin dependant diabetes mellitus",26855
"                                                                              ",3,"C108411","Unstable type I diabetes mellitus",60107
"                                                                              ",3,"C108412","Unstable type 1 diabetes mellitus",97474
"                                                                              ",3,"C108500","Insulin dependent diabetes mellitus with ulcer",44443
"                                                                              ",3,"C108511","Type I diabetes mellitus with ulcer",51957
"                                                                              ",3,"C108512","Type 1 diabetes mellitus with ulcer",68390
"                                                                              ",3,"C108600","Insulin dependent diabetes mellitus with gangrene",60499
"                                                                              ",3,"C108700","Insulin dependent diabetes mellitus with retinopathy",6509
"                                                                              ",3,"C108711","Type I diabetes mellitus with retinopathy",38161
"                                                                              ",3,"C108712","Type 1 diabetes mellitus with retinopathy",41049
"                                                                              ",3,"C108800","Insulin dependant diabetes mellitus - poor control",6791
"                                                                              ",3,"C108811","Type I diabetes mellitus - poor control",46850
"                                                                              ",3,"C108812","Type 1 diabetes mellitus - poor control",45914
"                                                                              ",3,"C108900","Insulin dependant diabetes maturity onset",31310
"                                                                              ",3,"C108911","Type I diabetes mellitus maturity onset",63017
"                                                                              ",3,"C108912","Type 1 diabetes mellitus maturity onset",97446
"                                                                              ",3,"C108A00","Insulin-dependent diabetes without complication",56448
"                                                                              ",3,"C108A11","Type I diabetes mellitus without complication",95992
"                                                                              ",3,"C108B00","Insulin dependent diabetes mellitus with mononeuropathy",24694
"                                                                              ",3,"C108C00","Insulin dependent diabetes mellitus with polyneuropathy",41716
"                                                                              ",3,"C108D00","Insulin dependent diabetes mellitus with nephropathy",57621
"                                                                              ",3,"C108D11","Type I diabetes mellitus with nephropathy",66872
"                                                                              ",3,"C108E00","Insulin dependent diabetes mellitus with hypoglycaemic coma",44440
"                                                                              ",3,"C108E11","Type I diabetes mellitus with hypoglycaemic coma",42729
"                                                                              ",3,"C108E12","Type 1 diabetes mellitus with hypoglycaemic coma",70766
"                                                                              ",3,"C108F00","Insulin dependent diabetes mellitus with diabetic cataract",44260
"                                                                              ",3,"C108F11","Type I diabetes mellitus with diabetic cataract",17545
"                                                                              ",3,"C108G00","Insulin dependent diab mell with peripheral angiopathy",64446
"                                                                              ",3,"C108H00","Insulin dependent diabetes mellitus with arthropathy",65616
"                                                                              ",3,"C108H11","Type I diabetes mellitus with arthropathy",62352
"                                                                              ",3,"C108J00","Insulin dependent diab mell with neuropathic arthropathy",39809
"                                                                              ",3,"C108J11","Type I diabetes mellitus with neuropathic arthropathy",60208
"                                                                              ",3,"C108J12","Type 1 diabetes mellitus with neuropathic arthropathy",18230
"                                                                              ",3,"C10C.12","Maturity onset diabetes in youth type 1",98392
"                                                                              ",3,"C10E.00","Type 1 diabetes mellitus",1549
"                                                                              ",3,"C10E.11","Type I diabetes mellitus",12455
"                                                                              ",3,"C10E.12","Insulin dependent diabetes mellitus",51261
"                                                                              ",3,"C10E000","Type 1 diabetes mellitus with renal complications",47582
"                                                                              ",3,"C10E100","Type 1 diabetes mellitus with ophthalmic complications",47649
"                                                                              ",3,"C10E112","Insulin-dependent diabetes mellitus with ophthalmic comps",98071
"                                                                              ",3,"C10E200","Type 1 diabetes mellitus with neurological complications",42831
"                                                                              ",3,"C10E300","Type 1 diabetes mellitus with multiple complications",47650
"                                                                              ",3,"C10E311","Type I diabetes mellitus with multiple complications",91942
"                                                                              ",3,"C10E312","Insulin dependent diabetes mellitus with multiple complicat",45276
"                                                                              ",3,"C10E400","Unstable type 1 diabetes mellitus",43921
"                                                                              ",3,"C10E411","Unstable type I diabetes mellitus",49949
"                                                                              ",3,"C10E412","Unstable insulin dependent diabetes mellitus",54600
"                                                                              ",3,"C10E500","Type 1 diabetes mellitus with ulcer",18683
"                                                                              ",3,"C10E511","Type I diabetes mellitus with ulcer",93878
"                                                                              ",3,"C10E512","Insulin dependent diabetes mellitus with ulcer",98704
"                                                                              ",3,"C10E600","Type 1 diabetes mellitus with gangrene",69993
"                                                                              ",3,"C10E700","Type 1 diabetes mellitus with retinopathy",18387
"                                                                              ",3,"C10E711","Type I diabetes mellitus with retinopathy",95343
"                                                                              ",3,"C10E712","Insulin dependent diabetes mellitus with retinopathy",93875
"                                                                              ",3,"C10E800","Type 1 diabetes mellitus - poor control",35288
"                                                                              ",3,"C10E812","Insulin dependent diabetes mellitus - poor control",72702
"                                                                              ",3,"C10E900","Type 1 diabetes mellitus maturity onset",40682
"                                                                              ",3,"C10E911","Type I diabetes mellitus maturity onset",96235
"                                                                              ",3,"C10E912","Insulin dependent diabetes maturity onset",97849
"                                                                              ",3,"C10EA00","Type 1 diabetes mellitus without complication",69676
"                                                                              ",3,"C10EA11","Type I diabetes mellitus without complication",62613
"                                                                              ",3,"C10EB00","Type 1 diabetes mellitus with mononeuropathy",68105
"                                                                              ",3,"C10EC00","Type 1 diabetes mellitus with polyneuropathy",46301
"                                                                              ",3,"C10EC11","Type I diabetes mellitus with polyneuropathy",91943
"                                                                              ",3,"C10ED00","Type 1 diabetes mellitus with nephropathy",10418
"                                                                              ",3,"C10EE00","Type 1 diabetes mellitus with hypoglycaemic coma",39070
"                                                                              ",3,"C10EF00","Type 1 diabetes mellitus with diabetic cataract",49554
"                                                                              ",3,"C10EG00","Type 1 diabetes mellitus with peripheral angiopathy",93468
"                                                                              ",3,"C10EH00","Type 1 diabetes mellitus with arthropathy",18642
"                                                                              ",3,"C10EJ00","Type 1 diabetes mellitus with neuropathic arthropathy",54008
"                                                                              ",3,"C10EK00","Type 1 diabetes mellitus with persistent proteinuria",30323
"                                                                              ",3,"C10EL00","Type 1 diabetes mellitus with persistent microalbuminuria",30294
"                                                                              ",3,"C10EM00","Type 1 diabetes mellitus with ketoacidosis",10692
"                                                                              ",3,"C10EM11","Type I diabetes mellitus with ketoacidosis",62209
"                                                                              ",3,"C10EN00","Type 1 diabetes mellitus with ketoacidotic coma",40837
"                                                                              ",3,"C10EN11","Type I diabetes mellitus with ketoacidotic coma",66145
"                                                                              ",3,"C10EP00","Type 1 diabetes mellitus with exudative maculopathy",22871
"                                                                              ",3,"C10EP11","Type I diabetes mellitus with exudative maculopathy",97894
"                                                                              ",3,"C10EQ00","Type 1 diabetes mellitus with gastroparesis",55239
"                                                                              ",3,"C10z000","Diabetes mellitus, juvenile type, + unspecified complication",68792
"                                                                              ",3,"L180500","Pre-existing diabetes mellitus, insulin-dependent",50960
"                                                                              ",3,"M21yC00","Insulin lipohypertrophy",38076
"                                                                              ",3,"M21yC11","Insulin site lipohypertrophy",43493
"                                                                              ",3,"ZC2C900","Dietary advice for type I diabetes",69043
"                                                                              ",3,"ZRbH.00","Perceived control of insulin-dependent diabetes",32359
"                                                                              ",4,"66Ao.00","Diabetes type 2 review",83532
"                                                                              ",4,"C100100","Diabetes mellitus, adult onset, no mention of complication",14803
"                                                                              ",4,"C100111","Maturity onset diabetes",14889
"                                                                              ",4,"C100112","Non-insulin dependent diabetes mellitus",506
"                                                                              ",4,"C101100","Diabetes mellitus, adult onset, with ketoacidosis",54856
"                                                                              ",4,"C102100","Diabetes mellitus, adult onset, with hyperosmolar coma",43139
"                                                                              ",4,"C103100","Diabetes mellitus, adult onset, with ketoacidotic coma",68843
"                                                                              ",4,"C104100","Diabetes mellitus, adult onset, with renal manifestation",35105
"                                                                              ",4,"C105100","Diabetes mellitus, adult onset, + ophthalmic manifestation",41389
"                                                                              ",4,"C106100","Diabetes mellitus, adult onset, + neurological manifestation",39317
"                                                                              ",4,"C107100","Diabetes mellitus, adult, + peripheral circulatory disorder",63357
"                                                                              ",4,"C107200","Diabetes mellitus, adult with gangrene",33807
"                                                                              ",4,"C107400","NIDDM with peripheral circulatory disorder",56803
"                                                                              ",4,"C109.00","Non-insulin dependent diabetes mellitus",4513
"                                                                              ",4,"C109.11","NIDDM - Non-insulin dependent diabetes mellitus",5884
"                                                                              ",4,"C109.12","Type 2 diabetes mellitus",17859
"                                                                              ",4,"C109.13","Type II diabetes mellitus",18219
"                                                                              ",4,"C109000","Non-insulin-dependent diabetes mellitus with renal comps",52303
"                                                                              ",4,"C109011","Type II diabetes mellitus with renal complications",50225
"                                                                              ",4,"C109012","Type 2 diabetes mellitus with renal complications",18209
"                                                                              ",4,"C109100","Non-insulin-dependent diabetes mellitus with ophthalm comps",50429
"                                                                              ",4,"C109111","Type II diabetes mellitus with ophthalmic complications",59725
"                                                                              ",4,"C109112","Type 2 diabetes mellitus with ophthalmic complications",70316
"                                                                              ",4,"C109200","Non-insulin-dependent diabetes mellitus with neuro comps",55842
"                                                                              ",4,"C109211","Type II diabetes mellitus with neurological complications",67905
"                                                                              ",4,"C109212","Type 2 diabetes mellitus with neurological complications",45919
"                                                                              ",4,"C109300","Non-insulin-dependent diabetes mellitus with multiple comps",62146
"                                                                              ",4,"C109400","Non-insulin dependent diabetes mellitus with ulcer",34912
"                                                                              ",4,"C109411","Type II diabetes mellitus with ulcer",55075
"                                                                              ",4,"C109412","Type 2 diabetes mellitus with ulcer",65704
"                                                                              ",4,"C109500","Non-insulin dependent diabetes mellitus with gangrene",40401
"                                                                              ",4,"C109511","Type II diabetes mellitus with gangrene",62107
"                                                                              ",4,"C109512","Type 2 diabetes mellitus with gangrene",46150
"                                                                              ",4,"C109600","Non-insulin-dependent diabetes mellitus with retinopathy",17262
"                                                                              ",4,"C109611","Type II diabetes mellitus with retinopathy",58604
"                                                                              ",4,"C109612","Type 2 diabetes mellitus with retinopathy",42762
"                                                                              ",4,"C109700","Non-insulin dependant diabetes mellitus - poor control",8403
"                                                                              ",4,"C109711","Type II diabetes mellitus - poor control",24458
"                                                                              ",4,"C109712","Type 2 diabetes mellitus - poor control",45913
"                                                                              ",4,"C109900","Non-insulin-dependent diabetes mellitus without complication",29979
"                                                                              ",4,"C109A00","Non-insulin dependent diabetes mellitus with mononeuropathy",72320
"                                                                              ",4,"C109A11","Type II diabetes mellitus with mononeuropathy",50813
"                                                                              ",4,"C109B00","Non-insulin dependent diabetes mellitus with polyneuropathy",45467
"                                                                              ",4,"C109B11","Type II diabetes mellitus with polyneuropathy",47409
"                                                                              ",4,"C109C00","Non-insulin dependent diabetes mellitus with nephropathy",59365
"                                                                              ",4,"C109C11","Type II diabetes mellitus with nephropathy",64571
"                                                                              ",4,"C109C12","Type 2 diabetes mellitus with nephropathy",24836
"                                                                              ",4,"C109D00","Non-insulin dependent diabetes mellitus with hypoglyca coma",43785
"                                                                              ",4,"C109D11","Type II diabetes mellitus with hypoglycaemic coma",56268
"                                                                              ",4,"C109D12","Type 2 diabetes mellitus with hypoglycaemic coma",61071
"                                                                              ",4,"C109E00","Non-insulin depend diabetes mellitus with diabetic cataract",69278
"                                                                              ",4,"C109E11","Type II diabetes mellitus with diabetic cataract",48192
"                                                                              ",4,"C109E12","Type 2 diabetes mellitus with diabetic cataract",44779
"                                                                              ",4,"C109F00","Non-insulin-dependent d m with peripheral angiopath",54212
"                                                                              ",4,"C109F11","Type II diabetes mellitus with peripheral angiopathy",54899
"                                                                              ",4,"C109F12","Type 2 diabetes mellitus with peripheral angiopathy",60699
"                                                                              ",4,"C109G00","Non-insulin dependent diabetes mellitus with arthropathy",24693
"                                                                              ",4,"C109G11","Type II diabetes mellitus with arthropathy",18143
"                                                                              ",4,"C109G12","Type 2 diabetes mellitus with arthropathy",49869
"                                                                              ",4,"C109H00","Non-insulin dependent d m with neuropathic arthropathy",40962
"                                                                              ",4,"C109H11","Type II diabetes mellitus with neuropathic arthropathy",47816
"                                                                              ",4,"C109H12","Type 2 diabetes mellitus with neuropathic arthropathy",66965
"                                                                              ",4,"C109J00","Insulin treated Type 2 diabetes mellitus",18278
"                                                                              ",4,"C109J11","Insulin treated non-insulin dependent diabetes mellitus",37648
"                                                                              ",4,"C109J12","Insulin treated Type II diabetes mellitus",18264
"                                                                              ",4,"C109K00","Hyperosmolar non-ketotic state in type 2 diabetes mellitus",36633
"                                                                              ",4,"C10C.11","Maturity onset diabetes in youth",46624
"                                                                              ",4,"C10D.00","Diabetes mellitus autosomal dominant type 2",36695
"                                                                              ",4,"C10D.11","Maturity onset diabetes in youth type 2",59991
"                                                                              ",4,"C10ER00","Latent autoimmune diabetes mellitus in adult",95636
"                                                                              ",4,"C10F.00","Type 2 diabetes mellitus",758
"                                                                              ",4,"C10F.11","Type II diabetes mellitus",22884
"                                                                              ",4,"C10F000","Type 2 diabetes mellitus with renal complications",18777
"                                                                              ",4,"C10F011","Type II diabetes mellitus with renal complications",57278
"                                                                              ",4,"C10F100","Type 2 diabetes mellitus with ophthalmic complications",47321
"                                                                              ",4,"C10F200","Type 2 diabetes mellitus with neurological complications",34268
"                                                                              ",4,"C10F211","Type II diabetes mellitus with neurological complications",98616
"                                                                              ",4,"C10F300","Type 2 diabetes mellitus with multiple complications",65267
"                                                                              ",4,"C10F311","Type II diabetes mellitus with multiple complications",43227
"                                                                              ",4,"C10F400","Type 2 diabetes mellitus with ulcer",49074
"                                                                              ",4,"C10F411","Type II diabetes mellitus with ulcer",91646
"                                                                              ",4,"C10F500","Type 2 diabetes mellitus with gangrene",12736
"                                                                              ",4,"C10F600","Type 2 diabetes mellitus with retinopathy",18496
"                                                                              ",4,"C10F611","Type II diabetes mellitus with retinopathy",49655
"                                                                              ",4,"C10F700","Type 2 diabetes mellitus - poor control",25627
"                                                                              ",4,"C10F711","Type II diabetes mellitus - poor control",47315
"                                                                              ",4,"C10F900","Type 2 diabetes mellitus without complication",47954
"                                                                              ",4,"C10F911","Type II diabetes mellitus without complication",53392
"                                                                              ",4,"C10FA00","Type 2 diabetes mellitus with mononeuropathy",62674
"                                                                              ",4,"C10FA11","Type II diabetes mellitus with mononeuropathy",95351
"                                                                              ",4,"C10FB00","Type 2 diabetes mellitus with polyneuropathy",18425
"                                                                              ",4,"C10FB11","Type II diabetes mellitus with polyneuropathy",50527
"                                                                              ",4,"C10FC00","Type 2 diabetes mellitus with nephropathy",12640
"                                                                              ",4,"C10FD00","Type 2 diabetes mellitus with hypoglycaemic coma",46917
"                                                                              ",4,"C10FD11","Type II diabetes mellitus with hypoglycaemic coma",98723
"                                                                              ",4,"C10FE00","Type 2 diabetes mellitus with diabetic cataract",44982
"                                                                              ",4,"C10FE11","Type II diabetes mellitus with diabetic cataract",93727
"                                                                              ",4,"C10FF00","Type 2 diabetes mellitus with peripheral angiopathy",37806
"                                                                              ",4,"C10FG00","Type 2 diabetes mellitus with arthropathy",59253
"                                                                              ",4,"C10FH00","Type 2 diabetes mellitus with neuropathic arthropathy",35385
"                                                                              ",4,"C10FJ00","Insulin treated Type 2 diabetes mellitus",1407
"                                                                              ",4,"C10FJ11","Insulin treated Type II diabetes mellitus",64668
"                                                                              ",4,"C10FK00","Hyperosmolar non-ketotic state in type 2 diabetes mellitus",34450
"                                                                              ",4,"C10FL00","Type 2 diabetes mellitus with persistent proteinuria",26054
"                                                                              ",4,"C10FL11","Type II diabetes mellitus with persistent proteinuria",60796
"                                                                              ",4,"C10FM00","Type 2 diabetes mellitus with persistent microalbuminuria",18390
"                                                                              ",4,"C10FM11","Type II diabetes mellitus with persistent microalbuminuria",85991
"                                                                              ",4,"C10FN00","Type 2 diabetes mellitus with ketoacidosis",32627
"                                                                              ",4,"C10FP00","Type 2 diabetes mellitus with ketoacidotic coma",51756
"                                                                              ",4,"C10FQ00","Type 2 diabetes mellitus with exudative maculopathy",25591
"                                                                              ",4,"C10FR00","Type 2 diabetes mellitus with gastroparesis",63690
"                                                                              ",4,"C10y100","Diabetes mellitus, adult, + other specified manifestation",63371
"                                                                              ",4,"C10z100","Diabetes mellitus, adult onset, + unspecified complication",63762
"                                                                              ",4,"L180600","Pre-existing diabetes mellitus, non-insulin-dependent",50609
"                                                                              ",4,"ZC2CA00","Dietary advice for type II diabetes",25041
"                                                                              ",5,"C10B.00","Diabetes mellitus induced by steroids",11551
"                                                                              ",5,"C10B000","Steroid induced diabetes mellitus without complication",26108
"                                                                              ",5,"C10FS00","Maternally inherited diabetes mellitus",95539
"                                                                              ",5,"C10G.00","Secondary pancreatic diabetes mellitus",51697
"                                                                              ",5,"C10G000","Secondary pancreatic diabetes mellitus without complication",96506
"                                                                              ",5,"C10H.00","Diabetes mellitus induced by non-steroid drugs",61122
"                                                                              ",5,"C10H000","DM induced by non-steroid drugs without complication",67212
"                                                                              ",5,"C10N.00","Secondary diabetes mellitus",22487
"                                                                              ",5,"C10N000","Secondary diabetes mellitus without complication",94383
"                                                                              ",5,"C10N100","Cystic fibrosis related diabetes mellitus",93380
"                                                                              ",5,"C11y000","Steroid induced diabetes",32193
"                                                                              ",6,"13AB.00","Diabetic lipid lowering diet",21689
"                                                                              ",6,"13AC.00","Diabetic weight reducing diet",13078
"                                                                              ",6,"13B1.00","Diabetic diet",13074
"                                                                              ",6,"2BBF.00","Retinal abnormality - diabetes related",22967
"                                                                              ",6,"2BBL.00","O/E - diabetic maculopathy present both eyes",9835
"                                                                              ",6,"2BBM.00","O/E - diabetic maculopathy absent both eyes",47144
"                                                                              ",6,"2BBP.00","O/E - right eye background diabetic retinopathy",11433
"                                                                              ",6,"2BBQ.00","O/E - left eye background diabetic retinopathy",11129
"                                                                              ",6,"2BBR.00","O/E - right eye preproliferative diabetic retinopathy",13099
"                                                                              ",6,"2BBS.00","O/E - left eye preproliferative diabetic retinopathy",13103
"                                                                              ",6,"2BBT.00","O/E - right eye proliferative diabetic retinopathy",13097
"                                                                              ",6,"2BBV.00","O/E - left eye proliferative diabetic retinopathy",13101
"                                                                              ",6,"2BBW.00","O/E - right eye diabetic maculopathy",13102
"                                                                              ",6,"2BBX.00","O/E - left eye diabetic maculopathy",13108
"                                                                              ",6,"2BBk.00","O/E - right eye stable treated prolif diabetic retinopathy",47328
"                                                                              ",6,"2BBl.00","O/E - left eye stable treated prolif diabetic retinopathy",52041
"                                                                              ",6,"2BBo.00","O/E - sight threatening diabetic retinopathy",52630
"                                                                              ",6,"2G51000","Foot abnormality - diabetes related",27921
"                                                                              ",6,"2G5A.00","O/E - Right diabetic foot at risk",17095
"                                                                              ",6,"2G5B.00","O/E - Left diabetic foot at risk",26664
"                                                                              ",6,"2G5C.00","Foot abnormality - diabetes related",18056
"                                                                              ",6,"2G5E.00","O/E - Right diabetic foot at low risk",26666
"                                                                              ",6,"2G5F.00","O/E - Right diabetic foot at moderate risk",31157
"                                                                              ",6,"2G5G.00","O/E - Right diabetic foot at high risk",31171
"                                                                              ",6,"2G5H.00","O/E - Right diabetic foot - ulcerated",35316
"                                                                              ",6,"2G5I.00","O/E - Left diabetic foot at low risk",26667
"                                                                              ",6,"2G5J.00","O/E - Left diabetic foot at moderate risk",31156
"                                                                              ",6,"2G5K.00","O/E - Left diabetic foot at high risk",31172
"                                                                              ",6,"2G5L.00","O/E - Left diabetic foot - ulcerated",35116
"                                                                              ",6,"2G5V.00","O/E - right chronic diabetic foot ulcer",62384
"                                                                              ",6,"2G5W.00","O/E - left chronic diabetic foot ulcer",49640
"                                                                              ",6,"66A3.00","Diabetic on diet only",7563
