"Disease","Read code","Medcode","Descr","Include"
"Peptic ulcer disease","J13y100","70456.0","Unspecified peptic ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13y200","64111.0","Unspecified peptic ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13y300","96622.0","Unspecified peptic ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13y400","99670.0","Unspecified peptic ulcer with obstruction","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13y.00","50497.0","Unspecified peptic ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13yz00","60249.0","Unspecified peptic ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13z.00","19928.0","Peptic ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J140100","96628.0","Acute gastrojejunal ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J140200","102177.0","Acute gastrojejunal ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J140300","106330.0","Acute gastrojejunal ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J140.00","45184.0","Acute gastrojejunal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J140z00","42274.0","Acute gastrojejunal ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J141300","110244.0","Chronic gastrojejunal ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J141.00","96090.0","Chronic gastrojejunal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14..00","23082.0","Gastrojejunal ulcer (GJU)","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14..11","23487.0","Anastomotic ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14..12","64913.0","Gastrocolic ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14..13","9981.0","Jejunal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14y100","60346.0","Unspecified gastrojejunal ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14y200","15979.0","Unspecified gastrojejunal ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14y.00","63482.0","Unspecified gastrojejunal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14yz00","66092.0","Unspecified gastrojejunal ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14z.00","15403.0","Gastrojejunal ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J17y800","18319.0","Healed gastric ulcer leaving a scar","History of Peptic ulcer disease"
"Peptic ulcer disease","ZV12711","26261.0","[V]Personal history of peptic ulcer","History of Peptic ulcer disease"
"Peptic ulcer disease","ZV12712","40489.0","[V]Personal history of duodenal ulcer","History of Peptic ulcer disease"
"Peptic ulcer disease","ZV12C00","41271.0","[V] Personal history of gastric ulcer","History of Peptic ulcer disease"
